onset	duration	trial_type	sample	value
15.0	5.0	speech_window	15360	ストレス症を数分前に見つけたところです
35.0	5.0	speech_window	35840	僕は一日中、脅迫電話に悩まされた
45.0	5.0	speech_window	46080	私は自分が何かを恐れていると人々に思われたくない
55.0	5.0	speech_window	56320	老後のためにしっかりお金を貯める
60.0	5.0	speech_window	61440	高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾県高尾�
65.0	5.0	speech_window	66560	申し上げます
70.0	5.0	speech_window	71680	人間が必ずしも成功するとは限らない
80.0	5.0	speech_window	81920	彼女は猿を抱きかかえていた
85.0	5.0	speech_window	87040	バンジーは
90.0	5.0	speech_window	92160	結果いかにかわかっている
105.0	5.0	speech_window	107520	これは復活打ちの後発行料を支払った後も続く点にいる
115.0	5.0	speech_window	117760	デビューに挨拶したが彼女は
120.0	5.0	speech_window	122880	完全に私のことを無視した
125.0	5.0	speech_window	128000	デパートの主職を
130.0	5.0	speech_window	133120	行くといろいろなものがただで食べられるよ
140.0	5.0	speech_window	143360	別に並んで長い間まで
145.0	5.0	speech_window	148480	された後身分証明として正式な出世
150.0	5.0	speech_window	153600	証明書が必要だと言われた
165.0	5.0	speech_window	168960	金属の部分を少しずつ浸食している
175.0	5.0	speech_window	179200	1997年3月31日です
215.0	5.0	speech_window	220160	このような、
220.0	5.0	speech_window	225280	精神状態の存在を否定するということである
225.0	5.0	speech_window	230400	デニス・ウィルソン
230.0	5.0	speech_window	235520	マロンさんの丸い顔を嘲笑う
235.0	5.0	speech_window	240640	用がありますので先に行ってください
240.0	5.0	speech_window	245760	おやすみなさい
245.0	5.0	speech_window	250880	いただけますか
250.0	5.0	speech_window	256000	お困りでしたら喜んでお役に立ちます
255.0	5.0	speech_window	261120	ペンバーとモントリオールとどっちが
270.0	5.0	speech_window	276480	前髪は短く切りすぎて
275.0	5.0	speech_window	281600	ないでください
280.0	5.0	speech_window	286720	データから明らかなように、
285.0	5.0	speech_window	291840	この間では減っていない
290.0	5.0	speech_window	296960	人殺しで逮捕された男は
295.0	5.0	speech_window	302080	証言を拒否したいといった
300.0	5.0	speech_window	307200	競争は満足のいったことに和解に終わった。
345.0	5.0	speech_window	353280	この最中、秘密警察が人混みを行っている。
350.0	5.0	speech_window	358400	髪の中を動き回った
360.0	5.0	speech_window	368640	髪をとかしながら
365.0	5.0	speech_window	373760	彼女は心よい歌を歌った
380.0	5.0	speech_window	389120	商人は卸で仕入れて小売で売る
385.0	5.0	speech_window	394240	僕らの中国旅行が
390.0	5.0	speech_window	399360	楽しいものになるといいな
395.0	5.0	speech_window	404480	テリカテッセンから
400.0	5.0	speech_window	409600	火災が発生し灰の山を残して全焼死
420.0	5.0	speech_window	430080	ブッキンスさんはとても大声で話したので
425.0	5.0	speech_window	435200	2階にいても聞こえた
430.0	5.0	speech_window	440320	影でコソコソせず
435.0	5.0	speech_window	445440	面と向かって彼にそれを言い給え
440.0	5.0	speech_window	450560	マルタさんたちの
450.0	5.0	speech_window	460800	本当に嫌気がさせた
460.0	5.0	speech_window	471040	中の選手権がかかっているのでチームのみんなは一緒に
465.0	5.0	speech_window	476160	一生懸命試合をした
485.0	5.0	speech_window	496640	綺麗に掃除しておかなければ
500.0	5.0	speech_window	512000	それが1日のスタートを助ける
505.0	5.0	speech_window	517120	この長さ目にはもう
545.0	5.0	speech_window	558080	足を取り体も不自由であったが
550.0	5.0	speech_window	563200	その仕事をする気力があった
560.0	5.0	speech_window	573440	お母さんを歓迎するのを手伝ってください
565.0	5.0	speech_window	578560	映画を見ることに楽しみです。
570.0	5.0	speech_window	583680	見出す人もいる
575.0	5.0	speech_window	588800	ホワイトブレッドお願いします
590.0	5.0	speech_window	604160	法律では女性が男性と同一条件で雇用される
595.0	5.0	speech_window	609280	ことが求められている
600.0	5.0	speech_window	614400	彼は外国人で、
605.0	5.0	speech_window	619520	これいけなくなった
625.0	5.0	speech_window	640000	福知だからなおさら彼が
640.0	5.0	speech_window	655360	ヘッドボルトはポロのように馬に乗って行われる
645.0	5.0	speech_window	660480	行われる競技と違って
655.0	5.0	speech_window	670720	足でボールを使って行われる競技のことでした。
680.0	5.0	speech_window	696320	クソ長い地下迷宮もクリアした
690.0	5.0	speech_window	706560	ホテルは部屋代として私に8000円も請求した
710.0	5.0	speech_window	727040	ノルル経由で東京に帰りたいのですが
720.0	5.0	speech_window	737280	中の海にヨットが2、3浮かんでいる
815.0	5.0	speech_window	834560	セクシャルハラスメントは今や社会問題となった
825.0	5.0	speech_window	844800	足首の捻挫で彼は1ヶ月動けなかった
830.0	5.0	speech_window	849920	ゆうこはとても素早く
835.0	5.0	speech_window	855040	プレースをスタートした
845.0	5.0	speech_window	865280	これらの貿易サイクルのいくつかは非常に短期のものであることがわかります。
850.0	5.0	speech_window	870400	が判明する
855.0	5.0	speech_window	875520	♪
865.0	5.0	speech_window	885760	役人たちの中には買収された人があるかもしれない
875.0	5.0	speech_window	896000	今、帝国にできることは、織鶴を追って奇跡を願うことです。
880.0	5.0	speech_window	901120	だけだった
890.0	5.0	speech_window	911360	安全のために機械の前にケージを掲げるつもりだ
900.0	5.0	speech_window	921600	予想に効果的に
905.0	5.0	speech_window	926720	対処するのは人生の重要な部分である
910.0	5.0	speech_window	931840	当選したいならイメージアップするつもりで
925.0	5.0	speech_window	947200	報告者は自分の研究方法について詳しく述べた
935.0	5.0	speech_window	957440	小荘意見の尊重
940.0	5.0	speech_window	962560	しなければならない
945.0	5.0	speech_window	967680	母親は息子に言い聞かせようとしていた
955.0	5.0	speech_window	977920	彼はその責任を引き受けるつもりだ
960.0	5.0	speech_window	983040	主なる太陽よ、これを照らし続けてください。
970.0	5.0	speech_window	993280	クジラが今世紀の終わりに死に絶える可能性は
975.0	5.0	speech_window	998400	ゴブゴブである
980.0	5.0	speech_window	1003520	学部長はためらうことなく
985.0	5.0	speech_window	1008640	永遠の英知を選んだ
995.0	5.0	speech_window	1018880	携帯電話が欲しいのですが支払うのに十分なお金があります
1000.0	5.0	speech_window	1024000	www
1005.0	5.0	speech_window	1029120	「自分の上着が最新の流行なのだ」
1015.0	5.0	speech_window	1039360	鯨には独自の言語があると信じられている
1020.0	5.0	speech_window	1044480	知能階段のことは世界中で
1025.0	5.0	speech_window	1049600	放映される予定だ
1035.0	5.0	speech_window	1059840	発泡的に授業の再構築を行ったおかげで
1040.0	5.0	speech_window	1064960	当社の黒字は3倍の膨らんだ
1070.0	5.0	speech_window	1095680	保護されなければ
1075.0	5.0	speech_window	1100800	絶滅するだろう
1095.0	5.0	speech_window	1121280	成功を心から泳ぐ
1100.0	5.0	speech_window	1126400	喜び申し上げます
1105.0	5.0	speech_window	1131520	画家には目が一番大切な道具である
1120.0	5.0	speech_window	1146880	物挟まった言い方をせずズバリ直球で行った
1125.0	5.0	speech_window	1152000	おすすめします
1130.0	5.0	speech_window	1157120	雨風がこんす
1145.0	5.0	speech_window	1172480	雨くらいで電話が混線していたら
1150.0	5.0	speech_window	1177600	日本なんて大変ですよね
1155.0	5.0	speech_window	1182720	雨が降って試合はコールドゲームになった
1165.0	5.0	speech_window	1192960	最近は食べられないと言うけど単なる食わず嫌いじゃないの?
1175.0	5.0	speech_window	1203200	謝ったんだからさっきのはチャラにしてよ
1180.0	5.0	speech_window	1208320	チェックアウトしたいので
1185.0	5.0	speech_window	1213440	会計お願いします
1190.0	5.0	speech_window	1218560	シェアリーダーの選抜テストを受けたいのです
1195.0	5.0	speech_window	1223680	双方の言い分を聞かないと
1200.0	5.0	speech_window	1228800	そうは分からない
1205.0	5.0	speech_window	1233920	雨でなければサイクリングに行ってもよろしい
1240.0	5.0	speech_window	1269760	身を立てれば一生懸命書かねばならぬ
1245.0	5.0	speech_window	1274880	この記事ではずっと複雑な書き方があります。
1250.0	5.0	speech_window	1280000	複雑じゃなくなっている
1255.0	5.0	speech_window	1285120	雨のせいで私たちはピクニックに行けなかった
1265.0	5.0	speech_window	1295360	ないと思うが万一の用心に傘を持っていこう
